latitude,longitude,line_number,WARD,PRECINCT
41.9136063,-87.7106318,2326,26.0,40.0
41.9239191,-87.7080464,2327,32.0,12.0
41.8864322,-87.631785,2330,42.0,10.0
41.7854547,-87.7054055,2335,23.0,15.0
41.6958623,-87.5410042,2336,10.0,23.0
41.8889955,-87.7637331,2338,37.0,9.0
41.7548569,-87.6420641,2342,6.0,20.0
41.9609631,-87.7026675,2347,33.0,23.0
42.0076865,-87.6687984,2349,49.0,23.0
41.9633356,-87.697479,2354,33.0,24.0
41.6927991,-87.6281222,2357,34.0,28.0
41.781998,-87.6870366,2358,16.0,19.0
41.7528494,-87.7292375,2360,18.0,43.0
41.8839872,-87.6549711,2366,27.0,16.0
41.8318164,-87.6209141,2370,3.0,7.0
41.9418298,-87.6660474,2373,44.0,2.0
41.6781706,-87.657415,2374,34.0,10.0
42.0029068,-87.8123771,2375,41.0,5.0
41.9089948,-87.6826668,2380,1.0,38.0
41.7347339,-87.5789644,2385,8.0,19.0
41.6888942,-87.5337342,2391,10.0,10.0
41.7013357,-87.6418019,2395,34.0,20.0
41.9342675,-87.8050494,2402,29.0,39.0
41.8110329,-87.6276981,2404,3.0,1.0
41.7484478,-87.6352966,2405,17.0,39.0
41.8402656,-87.7277464,2406,22.0,24.0
41.7669229,-87.68733,2409,17.0,3.0
41.9113665,-87.7706996,2410,29.0,24.0
41.6560457,-87.5455626,2412,10.0,5.0
41.7291789,-87.6357881,2419,21.0,40.0
41.8523596,-87.6339245,2435,25.0,6.0
41.7266271,-87.6575997,2441,21.0,42.0
41.6667807,-87.6411756,2442,34.0,26.0
41.8823459,-87.7332983,2446,28.0,23.0
41.7210045,-87.6543017,2455,21.0,49.0
41.843955,-87.7261091,2457,22.0,17.0
41.9428863,-87.8287399,2458,38.0,24.0
41.7768563,-87.6540913,2469,16.0,30.0
42.0100277,-87.8126526,2476,41.0,44.0
41.8125318,-87.7522105,2480,22.0,23.0
41.7769002,-87.680668,2487,16.0,21.0
41.8083779,-87.6630636,2507,20.0,15.0
41.9058407,-87.6341013,2509,2.0,28.0
41.7672396,-87.6666681,2517,17.0,31.0
41.7749338,-87.6985179,2526,17.0,12.0
41.7792836,-87.7014589,2528,16.0,35.0
41.9195128,-87.6415946,2531,43.0,17.0
41.9260312,-87.6573252,2539,43.0,39.0
41.7542547,-87.5498113,2541,7.0,18.0
41.9283739,-87.7606064,2542,31.0,20.0
41.7296761,-87.6370191,2544,21.0,40.0
41.73822,-87.5887503,2546,8.0,52.0
41.7445179,-87.6153005,2566,6.0,1.0
41.9048589,-87.7135729,2568,26.0,9.0
41.7405175,-87.5657204,2569,7.0,29.0
41.9853581,-87.7147043,2573,39.0,16.0
41.7440396,-87.6532216,2576,21.0,54.0
41.9124907,-87.6622227,2579,2.0,20.0
41.7713866,-87.6551582,2589,17.0,13.0
41.7455043,-87.6836778,2594,18.0,14.0
41.7663643,-87.6125164,2596,6.0,7.0
41.7623021,-87.6859885,2601,18.0,48.0
41.9864459,-87.8217681,2602,41.0,41.0
41.7387874,-87.5590898,2604,7.0,30.0
41.9259337,-87.6557109,2608,43.0,39.0
41.7954785,-87.7791187,2609,23.0,14.0
41.9128625,-87.7187365,2612,26.0,11.0
42.0104544,-87.6798049,2613,49.0,13.0
42.0070186,-87.7806923,2614,41.0,39.0
41.8612586,-87.6469844,2617,11.0,33.0
42.0143573,-87.707964,2618,50.0,5.0
41.840483,-87.6459795,2626,11.0,16.0
41.8965519,-87.7499095,2639,37.0,27.0
41.9888926,-87.7179566,2647,39.0,18.0
41.6860693,-87.6842973,2651,19.0,7.0
41.8863896,-87.6299393,2654,42.0,10.0
41.9135633,-87.7928394,2658,29.0,43.0
41.7337657,-87.588422,2659,8.0,56.0
41.8353038,-87.7264029,2660,22.0,16.0
41.9314166,-87.7360752,2667,31.0,40.0
41.7012686,-87.6225132,2672,9.0,29.0
41.7833708,-87.6895124,2673,16.0,18.0
41.9561204,-87.6791682,2677,47.0,12.0
41.8070152,-87.6755235,2686,15.0,15.0
41.7495541,-87.6764609,2696,18.0,19.0
41.7667972,-87.6343551,2703,6.0,12.0
41.6856795,-87.6767296,2709,19.0,49.0
41.9000053,-87.6616101,2715,27.0,13.0
41.9587104,-87.6508121,2717,46.0,35.0
41.9921834,-87.7367001,2730,39.0,40.0
41.7958108,-87.6030295,2740,5.0,15.0
41.7046232,-87.6455689,2742,34.0,12.0
41.7631686,-87.6755784,2744,17.0,33.0
