WARD,PRECINCT,house,suburb,apartment,retail,garage,urban,office,building,roof,porch,church,n_lightfoot_l_2019r,n_preckwinkle_t_2019r,Y
4.0,21.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,243,82,0.6625514403292181
4.0,22.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197,189,0.04060913705583756
4.0,23.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,297,-0.37037037037037035
4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,166,-0.018072289156626505
4.0,25.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299,89,0.7023411371237458
4.0,26.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,190,145,0.23684210526315788
4.0,27.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212,214,-0.009345794392523364
4.0,29.0,0.3333333333333333,0.6666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,128,0.30434782608695654
4.0,30.0,0.0,0.25,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238,152,0.36134453781512604
4.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,151,0.27403846153846156
4.0,33.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,202,151,0.2524752475247525
4.0,34.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,138,0.1834319526627219
4.0,35.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221,186,0.1583710407239819
4.0,36.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,230,171,0.2565217391304348
4.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219,135,0.3835616438356164
5.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,166,94,0.43373493975903615
5.0,2.0,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,151,65,0.5695364238410596
5.0,3.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,137,219,-0.3744292237442922
5.0,4.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221,197,0.1085972850678733
5.0,5.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,182,123,0.3241758241758242
5.0,6.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,101,0.4127906976744186
5.0,8.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197,197,0.0
5.0,9.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,261,-0.3218390804597701
5.0,10.0,0.2,0.0,0.6,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,169,71,0.5798816568047337
5.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,194,214,-0.09345794392523364
5.0,12.0,0.42857142857142855,0.21428571428571427,0.0,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,141,73,0.48226950354609927
5.0,13.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,168,93,0.44642857142857145
5.0,14.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,142,0.1744186046511628
5.0,15.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,141,165,-0.14545454545454545
5.0,16.0,0.2,0.4,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,189,88,0.5343915343915344
5.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,121,0.2484472049689441
5.0,18.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,159,0.012422360248447204
5.0,19.0,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,193,-0.11398963730569948
5.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178,230,-0.22608695652173913
5.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,179,-0.03910614525139665
5.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,233,212,0.09012875536480687
5.0,23.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,301,-0.03986710963455149
5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,205,-0.1073170731707317
5.0,25.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203,126,0.3793103448275862
5.0,26.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,212,127,0.4009433962264151
5.0,27.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,158,175,-0.09714285714285714
5.0,28.0,0.5,0.5,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,229,155,0.3231441048034934
5.0,30.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,69,0.543046357615894
5.0,31.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165,74,0.5515151515151515
5.0,33.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,218,139,0.3623853211009174
5.0,34.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,210,198,0.05714285714285714
5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,250,195,0.22
5.0,36.0,0.25,0.75,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,134,76,0.43283582089552236
5.0,38.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191,106,0.44502617801047123
5.0,39.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,150,-0.08666666666666667
5.0,40.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,146,124,0.1506849315068493
6.0,1.0,0.8,0.4,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,189,135,0.2857142857142857
6.0,2.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,208,94,0.5480769230769231
6.0,3.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,236,91,0.614406779661017
6.0,4.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,54,0.64
6.0,5.0,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,48,0.5714285714285714
6.0,6.0,0.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,208,113,0.4567307692307692
6.0,7.0,0.625,0.625,0.375,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,171,70,0.5906432748538012
6.0,8.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,192,121,0.3697916666666667
6.0,9.0,0.5,0.5,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,160,68,0.575
